 [329.6527, 394.15]
 [404.8995, 336.8191]
 [322.4864, 361.9013]
 [286.6545, 404.8995]
 [257.9891, 351.1518]
 [437.1482, 121.8282]
 [326.0695, 143.3273]
 [415.6491, 71.66364]
 [558.9763, 107.4954]
 [469.3968, 111.0786]
 [541.0604, 96.7459]
 [447.8977, 222.1573]
 [322.4864, 204.2413]
 [469.3968, 229.3236]
 [118.245, 143.3273]
 [100.3291, 78.82999]
 [164.8264, 340.4023]
 [75.24681, 240.0732]
 [458.6472, 394.15]
